,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
class,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,9.0,0.0,10.0,0.0
m1,13489.116326253954,7772.630246155748,27055.056725955204,19923.23775459667,87775.11184210527,549112.2994359069,90590.70797451375,236141.3860006028,8994.75870515464,4789.554241404077,7407.119812593702,3980.217484069905,39123.360405156534,103067.57369447684,9361.903379576108,4461.806450939754,10483.723625806451,24884.18907466833,10646.558877470356,8298.111550356796
m2,1.0,0.0,1.0,0.0,1.0015789473684211,0.05128811100679121,1.0,0.0,1.0,0.0,1.0,0.0,1.0128913443830572,0.2554239278875072,1.0,0.0,1.0,0.0,1.0,0.0
m3,4.338454586534117,2.864124410942885,5.087285902503294,3.2972390844730706,22.096842105263157,27.684164141415998,5.895372233400402,7.979455256142316,5.250721649484536,5.248037557042565,1.7241379310344827,1.0013055088962879,15.514732965009209,16.841588985334887,6.65009633911368,8.540760979077955,6.376774193548387,4.364524288862077,3.9956521739130433,2.938472270730041
m4,9.676909173068234,5.72824882188577,11.174571805006588,6.594478168946141,45.19421052631579,55.368597493259756,12.790744466800804,15.958910512284632,11.501443298969072,10.49607511408513,4.448275862068965,2.0026110177925758,32.03913443830571,33.69565791476635,14.30019267822736,17.08152195815591,13.753548387096775,8.729048577724154,8.991304347826087,5.876944541460082
m5,76.17849525530953,45.91811518967183,140.68752635046113,78.63271897594252,126.58427894736842,82.62537921372449,122.37126089872568,102.11288756927468,98.22805360824742,62.68747674521558,26.988920539730135,21.848593594204047,144.63310313075505,104.0647172267375,80.24466281310212,55.64608282149795,95.79378064516128,87.99995917915653,82.26585375494071,48.989055668879196
m6,98.20528242205151,58.45953074613314,148.33175889328064,77.20633491265454,141.24823157894738,93.9842005860501,143.27964788732396,138.1190626680522,125.32964948453609,81.6070442044051,55.943230884557714,34.3822249517003,253.93543278084715,822.2010770468795,105.13198073217725,88.1661991954847,134.74136774193548,86.89513443551452,85.78213833992095,47.46821327939519
m7,43.66057388160868,23.953475809000153,72.5990909090909,43.97543566478952,17.9988,15.70163230738693,28.553323272971163,30.494602527052447,8.467958762886598,6.232996275673219,3.6173688155922035,3.1095472933369934,67.36707182320441,91.98271622132688,7.791221579961465,5.6865329429430345,40.36452903225807,47.96764957705509,43.483644268774704,29.060835948098774
m8,1.771703569814731,1.7527825820911695,3.211376811594202,3.3861194054039534,1.4598526315789475,1.182893507638936,2.235385647216633,3.1309208522297562,0.7651257731958763,0.9016690122708158,3.319130434782609,1.4019274031094329,1.5848618784530386,1.60595357946125,0.969175337186898,1.1036553192431715,1.5476516129032256,1.2059772142376137,1.1229525691699604,0.8513594005518395
m9,333.0603886127429,245.28965023335775,659.0842621870883,459.09901422613547,1183.6553105263158,1210.1283341212768,621.9910127431255,935.2651906805572,401.3111051546392,342.298540777393,92.8935832083958,62.76303771313131,1805.1165607734806,2600.9907815281795,395.07364932562626,443.1522315718222,750.7842580645162,882.4444681478781,351.9999920948616,261.01361731473844
m10,1352.691003163127,681.7664529439335,2904.038181818182,1135.6483179073762,6590.875163157895,11197.039821216,3998.71766934943,6407.479413748706,705.3000041237113,233.0243473522716,720.3839655172413,242.89712811271187,6025.3193646408845,7551.096139671464,722.1862235067438,232.90526701099142,3406.060477419355,4134.485250225623,1304.226490118577,850.6192373316259
m11,3562.550659737912,2082.8456371796665,7470.235859683795,5122.625848270897,24874.853347368422,138450.62114054797,24172.423038229375,61907.79743595543,2250.729208247423,1197.1871656133278,1918.38952023988,1007.4655984036931,11378.367794659302,26270.328257536028,2342.3134759152217,1115.4903942917092,3841.773148387097,6803.024515158359,2832.293735177866,2099.980183801268
m12,120.10849073655669,59.36095798496588,190.61967720685112,79.81479557810187,146.31077894736842,78.02685236485519,168.3173541247485,141.42768459849125,144.74762061855668,77.44515315647757,57.74066716641679,34.86749366183682,244.46098066298342,193.49859311706234,121.14704431599228,86.65253364343859,165.67383225806452,107.76323638262069,110.34656126482213,49.03161483184284
m13,143.43484410302756,68.80666750709436,232.34455204216073,101.88714658535214,202.6038263157895,108.38642845892888,204.22611670020117,171.62410394940028,168.97200412371134,89.98019325152893,62.179302848575716,36.81265662935459,320.49473296500923,284.8584168844172,141.91879768786126,101.67755444070589,197.5076903225807,131.3605163137268,149.39028458498024,64.23538651630894
m14,2.5747853592408494,1.8409734117153063,2.6930171277997363,1.7853413706965706,6.483157894736842,4.442865368994404,3.147551978537894,3.8352116521063047,2.966185567010309,2.730558884548422,0.6904047976011994,0.8964116099764643,6.804327808471455,6.283705588862277,3.572639691714836,4.021101694193637,3.3716129032258064,2.0215171611708436,2.2446640316205535,1.7077444333375658
m15,33.479683687302305,13.261293075068762,56.67210144927536,23.295442489645623,33.3253,22.124325251641967,45.364510395707576,23.992050221115715,37.025340206185575,18.30307123978697,20.92714392803598,10.102950205978969,51.97479742173112,33.32298807888085,28.07134104046243,13.265625312507312,45.29352258064515,31.926803480296154,38.581731225296444,14.248408536928077
m16,0.9338680524175326,0.029286956154083516,0.9232081686429513,0.04651814914780694,0.8824315789473685,0.050999313902927466,0.904255533199195,0.06807877041670127,0.9411134020618556,0.029913198230821905,0.9783358320839581,0.018301991726177688,0.9082872928176794,0.08853229971436327,0.9431676300578035,0.032410020634353484,0.9082193548387096,0.0476765413645165,0.8849367588932807,0.048838789048326836
m17,77.86534116583823,58.949590257535995,73.49571805006588,57.08848862558394,1327.8147368421053,1951.236880889538,548.0425888665326,1562.6004310793587,153.44247422680414,162.68592590917376,19.494752623688157,13.06075201747931,556.5303867403314,1087.2816358211678,194.64354527938343,275.0491336771296,397.3858064516129,607.2439535953633,205.55573122529646,278.1998484025556
m18,0.6161093538183461,0.20857932599719228,0.6117094861660078,0.2417592221709674,0.5774368421052632,0.1672527096624841,0.6457310529845741,0.2160315402945694,0.6517525773195876,0.2034845494357557,0.7790854572713642,0.2394565682027059,0.5962292817679558,0.1816083244734304,0.6575568400770714,0.2012466068004251,0.5760645161290322,0.19661770765644268,0.632399209486166,0.21447291345145908
m19,0.913547220967013,0.6466661108430947,0.4832213438735178,0.41461015422418757,0.35009473684210524,0.8115123422964738,0.7423272971160295,1.1017876128502548,0.0,0.0,0.3825112443778111,0.524742702878808,1.291560773480663,1.092865942889825,0.0002928709055876686,0.011340007338050732,1.3428387096774195,1.2784763394125092,0.6548656126482213,1.0857207208634538
m20,54.600393131495714,26.713007681018876,53.10195322793148,30.482253046862663,62.80817368421052,33.665738190962564,56.721639839034204,34.69174336146322,62.06253608247424,34.46121138050006,33.496334332833584,38.20930885991074,62.024650092081025,26.764007257749963,59.830870905587666,33.84031385949883,66.21181935483871,28.097474321069132,64.65325691699604,36.013557836293764
m21,50.37880253050158,24.911190640654628,45.62484519104084,26.51323840929319,68.20065789473684,26.265998470639317,47.56113346747149,30.242428121675232,50.37227628865979,32.93568285507231,30.18700899550225,36.500473223107626,47.19217311233886,23.442286223648985,49.40384200385356,31.54761629639044,41.64067096774194,23.10464673699233,55.78911857707509,33.76396110130542
m22,1.0218481699051063,0.09125045761506329,1.0064591567852437,0.1617654208385034,1.0463,0.025228695932863456,1.0467404426559357,0.07106398245020155,1.0233649484536083,0.044941941005160045,1.0064992503748127,0.07451141934187583,1.0245534069981583,0.12316467801688649,1.0246088631984585,0.039243413308551495,1.0413806451612901,0.06753334624376603,1.0481501976284586,0.04041081508508239
