,mean,std,mean,std
class,1.0,0.0,2.0,0.0
m1,26488.817053571427,14266.627311239372,14475.123008928571,10812.066958459
m2,1.0267857142857142,0.16218227031056387,3.7767857142857144,2.7597813643281923
m3,17.714285714285715,5.228867500812709,10.232142857142858,4.435690918600384
m4,36.455357142857146,10.434599750032195,24.241071428571427,9.696517007923108
m5,190.49875,69.41937824484529,144.71651785714286,51.11974942680312
m6,326.8372321428572,90.73807198020225,254.20883928571428,88.4986672851813
m7,109.26580357142858,31.090954005467204,40.84125,17.725132669550124
m8,1.1895092857142855,0.21283998639765853,0.7717426160714285,0.15191297080273472
m9,2038.7713124999998,579.363514309788,1214.0335625,496.6379255688488
m10,8464.742142857143,2230.3189782215427,3048.968544642857,1246.5140390082297
m11,9267.716071428571,3932.0852898286844,4000.462866071429,2762.760370468091
m12,361.8432142857143,84.2929960291796,235.64013035714288,98.54233125619628
m13,424.6795,92.90669319191085,280.35873125,115.64740155365703
m14,8.383928571428571,2.1234237851706785,4.571428571428571,2.2489808931858573
m15,56.835695535714294,11.037520397111235,51.68295892857144,13.156719672845107
m16,0.9101847410714285,0.018826113684557513,0.9018138125,0.025385102195363163
m17,689.1517857142857,230.94097408276428,272.54464285714283,110.81832290629195
m18,0.5447427232142857,0.09845778877633045,0.51747751875,0.15541244632436926
m19,2.546211785714285,0.5352645485577467,1.3567455625,1.0568107615145699
m20,70.97287857142857,8.80390334472843,75.78912232142856,11.224138796448024
m21,58.34770535714285,7.841113173659286,62.59254107142857,13.013822305149617
m22,1.0282674107142857,0.007913473826959568,1.0312000892857143,0.010258148814921405
